"Time","Self side","Rank1","Rank2","Opponent","Rank1","Rank2","Type","Size","Handicap","Result1","Result2","Result3"
2014/9/30 3:16,B,9k,-8,ice47,7k,-6,Ranked,19,2,W,0,Res.
2014/10/1 1:42,B,9k,-8,inaniwa,8k,-7,Ranked,19,0,B,1,10.5
2014/10/1 2:19,B,9k,-8,asburke,6k,-5,Ranked,19,3,B,1,51.5
2014/10/1 2:34,W,9k,-8,Milosh,4k,-3,Free,19,0,B,0,24.5
2014/10/2 0:49,B,9k,-8,Scribble,7k,-6,Ranked,19,2,B,1,Res.
2014/10/2 1:11,B,9k,-8,takaji9160,7k,-6,Ranked,19,2,W,0,Res.
2014/10/2 1:30,B,9k,-8,saka75,9k,-8,Ranked,19,0,B,1,4.5
2014/10/2 3:10,B,9k,-8,urode5,4k,-3,Ranked,19,5,B,1,Time
2014/10/2 3:45,B,9k,-8,kmori,3k,-2,Ranked,19,6,W,0,Res.
2014/10/2 4:3,B,9k,-8,qtarou,8k,-7,Ranked,19,0,B,1,Res.
2014/10/2 6:24,W,9k,-8,jimmylin,9k,-8,Ranked,19,0,W,1,Res.
2014/10/3 0:17,W,9k,-8,Phuntsok,10k,-9,Ranked,19,0,W,1,Res.
2014/10/3 0:59,W,9k,-8,momose955,9k,-8,Ranked,19,0,W,1,38.5
2014/10/3 1:57,W,9k,-8,Ocarina,11k,-10,Ranked,19,2,W,1,31.5
2014/10/3 3:27,B,9k,-8,ChasLayton,8k,-7,Ranked,19,0,B,1,30.5
2014/10/4 1:9,B,9k,-8,kappa,7k,-6,Ranked,19,2,B,1,14.5
2014/10/4 1:36,W,9k,-8,NoonMo,11k?,-10,Ranked,19,2,W,1,Res.
2014/10/4 1:47,B,9k,-8,Setell,7k,-6,Ranked,19,2,B,1,Res.
2014/10/4 4:9,B,9k,-8,kappa,7k,-6,Ranked,19,2,W,0,Res.
2014/10/4 4:25,B,9k,-8,ThinkPad,6k,-5,Ranked,19,3,W,0,Res.
2014/10/4 4:31,B,9k,-8,ThinkPad,6k,-5,Ranked,19,3,B,1,Res.
2014/10/4 4:32,B,9k,-8,AyameTan,7k,-6,Ranked,19,2,W,0,Res.
2014/10/4 16:32,B,9k,-8,ruxy,7k,-6,Ranked,19,2,W,0,Res.
2014/10/4 16:51,B,9k,-8,mickeyruts,9k,-8,Ranked,19,0,W,0,11.5
2014/10/5 3:57,B,9k,-8,CarlPoppa,8k?,-7,Ranked,19,0,W,0,Res.
2014/10/7 0:33,W,9k,-8,claugo,11k,-10,Ranked,19,2,W,1,Res.
2014/10/7 0:50,B,9k,-8,koe567,8k,-7,Ranked,19,0,B,1,Res.
2014/10/7 2:55,B,9k,-8,tyui,6k,-5,Ranked,19,3,W,0,Res.
2014/10/8 1:44,W,9k,-8,paopa0,9k,-8,Ranked,19,0,W,1,Res.
2014/10/8 2:14,W,9k,-8,Ktarquinio,13k,-12,Ranked,19,4,W,1,Res.
2014/10/9 0:21,W,9k,-8,mofmof,9k,-8,Ranked,19,0,W,1,Res.
2014/10/9 0:45,B,9k,-8,tomat2,7k,-6,Ranked,19,2,W,0,Res.
2014/10/9 0:55,B,9k,-8,ChasLayton,8k,-7,Ranked,19,0,W,0,Res.
2014/10/10 1:12,W,9k,-8,icc52124,10k,-9,Ranked,19,0,W,1,Res.
2014/10/10 1:32,B,9k,-8,JozefK,8k,-7,Ranked,19,0,B,1,Res.
2014/10/11 1:16,B,9k,-8,nestango,3k,-2,Ranked,19,6,W,0,Res.
2014/10/13 2:48,B,9k,-8,goisfun11,7k,-6,Ranked,19,2,W,0,12.5
2014/10/14 0:11,B,9k,-8,butsimple,9k,-8,Ranked,19,0,B,1,Res.
2014/10/14 0:20,W,9k,-8,laurakirit,9k,-8,Ranked,19,0,W,1,Res.
2014/10/14 0:53,B,9k,-8,CTSV60,9k,-8,Ranked,19,0,B,1,Res.
2014/10/14 4:24,B,9k,-8,BigMount,9k,-8,Ranked,19,0,W,0,9.5
2014/10/14 4:45,W,9k,-8,goldd,13k,-12,Ranked,19,4,B,0,Res.
2014/10/15 1:26,B,9k,-8,Vilgo,8k?,-7,Ranked,19,0,W,0,Res.
2014/10/15 2:7,B,9k,-8,Telemachus,7k,-6,Ranked,19,2,B,1,6.5
2014/10/17 2:36,W,9k,-8,hellnkillr,10k,-9,Ranked,19,0,W,1,Res.
2014/10/18 2:10,B,9k,-8,myseed,7k,-6,Ranked,19,2,W,0,Res.
2014/10/18 2:30,B,9k,-8,ayabe,9k,-8,Ranked,19,0,W,0,Res.
2014/10/18 2:50,W,9k,-8,candynp,10k,-9,Ranked,19,0,B,0,Res.
2014/10/18 3:2,W,9k,-8,zarigon,9k,-8,Ranked,19,0,W,1,Res.
2014/10/18 3:16,W,9k,-8,haklee,10k,-9,Ranked,19,0,W,1,Forf.
2014/10/18 6:47,B,9k,-8,koe567,8k,-7,Ranked,19,0,B,1,Res.
2014/10/18 6:50,B,9k,-8,MIKI,8k,-7,Ranked,19,0,B,1,78.5
2014/10/18 7:48,W,9k,-8,svel,9k,-8,Ranked,19,0,B,0,1.5
